EHG,EAG,HomeWins,AwayWins,Draws,AvgHomeGoals,AvgAwayGoals
0.25,0.25,1755,1782,6463,0.2497,0.2508
0.5,0.25,3275,1488,5237,0.5103,0.2637
0.75,0.25,4455,1225,4320,0.7535,0.2609
1,0.25,5476,942,3582,1.0119,0.2547
1.25,0.25,6360,716,2924,1.2687,0.2502
1.5,0.25,7014,558,2428,1.5127,0.2452
1.75,0.25,7483,457,2060,1.7437,0.2491
2,0.25,7966,386,1648,2.0081,0.2549
2.25,0.25,8314,292,1394,2.2642,0.2499
2.5,0.25,8654,228,1118,2.5038,0.2487
2.75,0.25,8889,207,904,2.7536,0.2586
3,0.25,9104,153,743,3.0039,0.2512
3.25,0.25,9245,129,626,3.2455,0.2552
3.5,0.25,9415,101,484,3.5081,0.247
3.75,0.25,9550,95,355,3.769,0.2503
4,0.25,9637,59,304,3.9922,0.2409
0.25,0.5,1474,3324,5202,0.2555,0.5089
0.5,0.5,2645,2619,4736,0.4962,0.4998
0.75,0.5,3825,2140,4035,0.7741,0.5095
1,0.5,4657,1865,3478,1.0005,0.5104
1.25,0.5,5485,1502,3013,1.2401,0.5082
1.5,0.5,6230,1157,2613,1.4966,0.4921
1.75,0.5,6727,1023,2250,1.7329,0.4989
2,0.5,7176,874,1950,1.9785,0.5194
2.25,0.5,7699,712,1589,2.2401,0.5078
2.5,0.5,8148,558,1294,2.5097,0.5019
2.75,0.5,8363,458,1179,2.7462,0.5131
3,0.5,8660,367,973,2.9843,0.4951
3.25,0.5,8881,281,838,3.2599,0.5011
3.5,0.5,9056,252,692,3.4843,0.4985
3.75,0.5,9204,225,571,3.7257,0.4975
4,0.5,9375,148,477,4.0275,0.5073
0.25,0.75,1148,4509,4343,0.2453,0.7536
0.5,0.75,2231,3691,4078,0.4993,0.7436
0.75,0.75,3169,3190,3641,0.744,0.7482
1,0.75,4037,2626,3337,1.0037,0.7486
1.25,0.75,4774,2243,2983,1.2562,0.7653
1.5,0.75,5492,1838,2670,1.5041,0.7632
1.75,0.75,6091,1549,2360,1.7242,0.7294
2,0.75,6659,1333,2008,1.996,0.7462
2.25,0.75,7189,1048,1763,2.2422,0.7372
2.5,0.75,7562,936,1502,2.4938,0.7521
2.75,0.75,7914,789,1297,2.7482,0.7462
3,0.75,8196,652,1152,3.0122,0.7568
3.25,0.75,8486,544,970,3.2653,0.7492
3.5,0.75,8723,449,828,3.5154,0.7573
3.75,0.75,8947,360,693,3.739,0.7455
4,0.75,9080,295,625,4.0113,0.7608
0.25,1,961,5484,3555,0.2562,0.9954
0.5,1,1787,4651,3562,0.4997,0.9848
0.75,1,2673,4007,3320,0.7459,0.9821
1,1,3451,3465,3084,0.9938,0.9972
1.25,1,4183,2955,2862,1.2484,1.0053
1.5,1,4928,2512,2560,1.5152,0.9985
1.75,1,5481,2159,2360,1.7387,0.9912
2,1,6071,1847,2082,2.014,1.0178
2.25,1,6503,1595,1902,2.242,1.0208
2.5,1,7019,1318,1663,2.5061,1.0047
2.75,1,7437,1072,1491,2.7709,1
3,1,7706,938,1356,2.9989,0.9991
3.25,1,8075,791,1134,3.2582,0.9991
3.5,1,8336,658,1006,3.5197,0.9995
3.75,1,8589,564,847,3.7336,0.9995
4,1,8812,490,698,4.0145,1.0132
0.25,1.25,754,6257,2989,0.2577,1.258
0.5,1.25,1495,5447,3058,0.4979,1.2389
0.75,1.25,2164,4882,2954,0.7454,1.2661
1,1.25,2957,4243,2800,0.9972,1.2542
1.25,1.25,3726,3566,2708,1.2591,1.2288
1.5,1.25,4294,3156,2550,1.5041,1.2557
1.75,1.25,4926,2713,2361,1.7347,1.2311
2,1.25,5531,2348,2121,2.0089,1.2495
2.25,1.25,5965,2048,1987,2.238,1.254
2.5,1.25,6506,1764,1730,2.481,1.2374
2.75,1.25,6917,1519,1564,2.7452,1.2449
3,1.25,7262,1279,1459,3.0106,1.2609
3.25,1.25,7678,1084,1238,3.2664,1.2659
3.5,1.25,7888,933,1179,3.4941,1.2388
3.75,1.25,8167,863,970,3.756,1.2544
4,1.25,8419,697,884,3.9802,1.2479
0.25,1.5,552,6961,2487,0.2478,1.5025
0.5,1.5,1235,6201,2564,0.4993,1.5012
0.75,1.5,1795,5571,2634,0.73,1.5077
1,1.5,2559,4861,2580,1.0045,1.4989
1.25,1.5,3153,4319,2528,1.2409,1.4989
1.5,1.5,3813,3756,2431,1.5087,1.4949
1.75,1.5,4432,3295,2273,1.772,1.5046
2,1.5,4910,2970,2120,1.9891,1.5126
2.25,1.5,5424,2609,1967,2.2309,1.5087
2.5,1.5,5912,2224,1864,2.5017,1.5096
2.75,1.5,6319,1915,1766,2.7514,1.5106
3,1.5,6791,1645,1564,2.9974,1.4998
3.25,1.5,7174,1387,1439,3.2513,1.5039
3.5,1.5,7405,1298,1297,3.4778,1.513
3.75,1.5,7823,1015,1162,3.7574,1.4979
4,1.5,8052,933,1015,3.9937,1.5051
0.25,1.75,451,7510,2039,0.2556,1.7569
0.5,1.75,983,6820,2197,0.4963,1.7578
0.75,1.75,1593,6165,2242,0.7579,1.7552
1,1.75,2166,5469,2365,1.0016,1.7495
1.25,1.75,2773,4912,2315,1.2588,1.7596
1.5,1.75,3240,4461,2299,1.5098,1.7839
1.75,1.75,3910,3847,2243,1.7656,1.7468
2,1.75,4461,3397,2142,2.0351,1.7701
2.25,1.75,4944,3054,2002,2.2553,1.7588
2.5,1.75,5405,2693,1902,2.4941,1.7657
2.75,1.75,5900,2358,1742,2.7564,1.7546
3,1.75,6354,2052,1594,3.022,1.7593
3.25,1.75,6728,1758,1514,3.2503,1.7418
3.5,1.75,7039,1594,1367,3.5264,1.7798
3.75,1.75,7414,1359,1227,3.751,1.7541
4,1.75,7686,1174,1140,3.9957,1.7525
0.25,2,407,7941,1652,0.26,1.9874
0.5,2,863,7272,1865,0.5089,2.0107
0.75,2,1414,6590,1996,0.7747,2.0084
1,2,1775,6106,2119,0.9733,2.0026
1.25,2,2340,5527,2133,1.2395,1.9971
1.5,2,2819,5001,2180,1.4782,2.0177
1.75,2,3388,4479,2133,1.7335,2.0004
2,2,3990,3978,2032,1.981,1.9798
2.25,2,4435,3607,1958,2.2371,2.011
2.5,2,5013,3125,1862,2.5017,1.9984
2.75,2,5372,2839,1789,2.7608,2.0245
3,2,5893,2437,1670,3.0018,1.9952
3.25,2,6271,2229,1500,3.245,2.0176
3.5,2,6685,1880,1435,3.4997,1.9978
3.75,2,6924,1732,1344,3.7204,2.0034
4,2,7320,1479,1201,4.0051,2.0009
0.25,2.25,350,8353,1297,0.2551,2.2403
0.5,2.25,643,7714,1643,0.4972,2.2394
0.75,2.25,1041,7175,1784,0.7488,2.2849
1,2.25,1593,6529,1878,1.0176,2.2472
1.25,2.25,2004,6036,1960,1.2387,2.2452
1.5,2.25,2570,5433,1997,1.4964,2.2489
1.75,2.25,3054,4883,2063,1.7604,2.2394
2,2.25,3626,4511,1863,2.0131,2.2499
2.25,2.25,4004,4060,1936,2.2555,2.2608
2.5,2.25,4483,3666,1851,2.4978,2.249
2.75,2.25,4964,3208,1828,2.7636,2.26
3,2.25,5331,2963,1706,2.9788,2.2591
3.25,2.25,5752,2629,1619,3.2149,2.2502
3.5,2.25,6221,2315,1464,3.4943,2.2404
3.75,2.25,6548,2045,1407,3.719,2.2639
4,2.25,6884,1820,1296,3.9419,2.2538
0.25,2.5,210,8728,1062,0.2494,2.5182
0.5,2.5,599,8101,1300,0.5019,2.5032
0.75,2.5,910,7580,1510,0.741,2.5087
1,2.5,1235,7035,1730,0.9922,2.5225
1.25,2.5,1776,6449,1775,1.2477,2.5003
1.5,2.5,2281,5870,1849,1.5202,2.4881
1.75,2.5,2686,5408,1906,1.7425,2.5007
2,2.5,3157,4927,1916,1.9956,2.4938
2.25,2.5,3641,4502,1857,2.2516,2.5186
2.5,2.5,4072,4064,1864,2.4889,2.4988
2.75,2.5,4553,3695,1752,2.7371,2.5176
3,2.5,4999,3334,1667,2.9959,2.5032
3.25,2.5,5303,3067,1630,3.2111,2.52
3.5,2.5,5800,2625,1575,3.5183,2.517
3.75,2.5,6114,2405,1481,3.7188,2.4909
4,2.5,6461,2155,1384,4.0022,2.5122
0.25,2.75,180,8908,912,0.2515,2.7456
0.5,2.75,411,8426,1163,0.5058,2.7596
0.75,2.75,734,7956,1310,0.7395,2.7394
1,2.75,1115,7434,1451,1.0013,2.7589
1.25,2.75,1477,6903,1620,1.2501,2.7475
1.5,2.75,1921,6325,1754,1.4979,2.7157
1.75,2.75,2371,5821,1808,1.7593,2.7381
2,2.75,2777,5422,1801,1.9871,2.7519
2.25,2.75,3277,4960,1763,2.2439,2.7356
2.5,2.75,3582,4578,1840,2.4705,2.7564
2.75,2.75,4160,4118,1722,2.7346,2.7373
3,2.75,4519,3842,1639,2.9736,2.7373
3.25,2.75,4941,3427,1632,3.241,2.7418
3.5,2.75,5388,3074,1538,3.4928,2.7477
3.75,2.75,5778,2748,1474,3.7731,2.7451
4,2.75,6200,2453,1347,4.0176,2.7411
0.25,3,152,9072,776,0.2546,3.0114
0.5,3,374,8653,973,0.5056,3.005
0.75,3,601,8255,1144,0.7535,2.9998
1,3,899,7815,1286,0.9999,3.0083
1.25,3,1197,7366,1437,1.2226,3.0257
1.5,3,1767,6698,1535,1.5293,2.9761
1.75,3,2059,6290,1651,1.7558,2.9885
2,3,2489,5874,1637,1.9895,2.9907
2.25,3,2887,5431,1682,2.2206,3.0069
2.5,3,3260,4989,1751,2.4733,2.9788
2.75,3,3685,4610,1705,2.7377,3.0182
3,3,4209,4148,1643,3.0146,3.0041
3.25,3,4612,3764,1624,3.2511,2.99
3.5,3,4966,3437,1597,3.511,3.0076
3.75,3,5361,3155,1484,3.7432,2.9806
4,3,5766,2832,1402,4.0103,2.9771
0.25,3.25,141,9250,609,0.2478,3.2361
0.5,3.25,288,8901,811,0.5006,3.2528
0.75,3.25,491,8477,1032,0.7477,3.2628
1,3.25,748,8120,1132,0.9861,3.2731
1.25,3.25,1100,7608,1292,1.2435,3.2527
1.5,3.25,1343,7257,1400,1.4814,3.2729
1.75,3.25,1758,6708,1534,1.7459,3.2716
2,3.25,2139,6208,1653,1.9942,3.2239
2.25,3.25,2601,5763,1636,2.2541,3.2272
2.5,3.25,2967,5373,1660,2.4893,3.2397
2.75,3.25,3331,5039,1630,2.7489,3.2788
3,3.25,3830,4513,1657,3.0133,3.254
3.25,3.25,4250,4123,1627,3.2762,3.2376
3.5,3.25,4568,3819,1613,3.495,3.2571
3.75,3.25,5044,3396,1560,3.7539,3.2133
4,3.25,5389,3164,1447,4.0063,3.2449
0.25,3.5,106,9416,478,0.2437,3.526
0.5,3.5,248,9094,658,0.4917,3.4922
0.75,3.5,420,8798,782,0.7472,3.5315
1,3.5,634,8416,950,0.9835,3.5139
1.25,3.5,939,7915,1146,1.2503,3.4912
1.5,3.5,1193,7499,1308,1.4844,3.5338
1.75,3.5,1620,7039,1341,1.7714,3.5102
2,3.5,1882,6631,1487,2.0011,3.5147
2.25,3.5,2251,6200,1549,2.2324,3.4854
2.5,3.5,2655,5835,1510,2.493,3.4731
2.75,3.5,3019,5427,1554,2.7428,3.5123
3,3.5,3406,4959,1635,3.0074,3.4946
3.25,3.5,3850,4612,1538,3.2313,3.472
3.5,3.5,4240,4290,1470,3.4883,3.5019
3.75,3.5,4682,3807,1511,3.7625,3.4939
4,3.5,4966,3533,1501,3.9898,3.4706
0.25,3.75,80,9550,370,0.2406,3.7486
0.5,3.75,193,9227,580,0.4903,3.735
0.75,3.75,384,8870,746,0.751,3.7404
1,3.75,554,8555,891,0.9886,3.7448
1.25,3.75,802,8176,1022,1.2567,3.7489
1.5,3.75,1051,7792,1157,1.5033,3.7319
1.75,3.75,1370,7333,1297,1.7609,3.7444
2,3.75,1677,7025,1298,1.9902,3.7501
2.25,3.75,2102,6466,1432,2.2523,3.7245
2.5,3.75,2378,6230,1392,2.4874,3.7769
2.75,3.75,2751,5731,1518,2.7693,3.7391
3,3.75,3088,5358,1554,2.9985,3.756
3.25,3.75,3546,4909,1545,3.2487,3.7215
3.5,3.75,3915,4636,1449,3.473,3.739
3.75,3.75,4283,4210,1507,3.7602,3.7536
4,3.75,4603,3887,1510,3.9865,3.7246
0.25,4,62,9588,350,0.2475,3.9968
0.5,4,165,9371,464,0.5005,4.0229
0.75,4,314,9071,615,0.7607,4.01
1,4,481,8795,724,1.0043,4.0375
1.25,4,681,8370,949,1.2506,3.9906
1.5,4,928,8041,1031,1.5083,3.9754
1.75,4,1196,7673,1131,1.7688,4.0292
2,4,1477,7286,1237,2.0131,3.9826
2.25,4,1850,6876,1274,2.2689,3.9781
2.5,4,2127,6479,1394,2.499,4.0162
2.75,4,2460,6170,1370,2.7288,4.0062
3,4,2877,5667,1456,3.0326,3.9998
3.25,4,3269,5308,1423,3.2776,4.0235
3.5,4,3545,5014,1441,3.4812,3.9995
3.75,4,3903,4677,1420,3.751,4.0303
4,4,4259,4325,1416,4.0036,4.0188
